HASH,METHOD,ADDONS,STATS,DATE
1a172264201fbca34fbcd585961fd88bf38ff896f922cad5de1b099d465bf9aaaa2f2a603c49bde570d8b8b35ba3bfc1900308f602669b4537df12eb28d0e267,cmake ./,,OK,19032022
0293fc243fad7563b5b503e4f0c23eff3414fab462b9c7c009425aab188ed36f9314af828c756d53084c8e52197402c9324b368b0d4b537281375feef1332e9c,./autogen.sh && ./configure,,OK,19032022
0293fc243fad7563b5b503e4f0c23eff3414fab462b9c7c009425aab188ed36f9314af828c756d53084c8e52197402c9324b368b0d4b537281375feef1332e9c,autoreconf -i && ./configure,,OK,19032022
0293fc243fad7563b5b503e4f0c23eff3414fab462b9c7c009425aab188ed36f9314af828c756d53084c8e52197402c9324b368b0d4b537281375feef1332e9c,cmake ./,,OK,19032022
a4c447cd55fa773f2eb007554dd4ea9bd53fb90134745316f1679f2c47c6cf9b0aea2800c50a33af4455dc48eacf40eb34a10402f8ecc2580c893e7096fc7d5c,SKEEP,NULL,,19032022
a83ee7d3ea5bf52f88788b95d65d9290c1b1a5950ca11d798a7ff66e942738e4840de15eb2484c519adde98eb0d35ff92bca3fe9fe7d3ff650840db4f4863bd0,SKEEP,NULL,,19032022
ca19b7d8ad726d97c37067c92a3657bbc7272700454473785ce52fa71d35a4c40cef96166baa8fbd3205ee2470564154f0ac0c1c052387b23fe28c73d0b8a7ee,cmake ./,,OK,19032022
5b318b3462934b9f056852ea64ca5e521ec04b4a1db68fd309b587fe8bd095da33ba26f074ccd37450e7c7e468387211f4d234eb0a55db3dae2b9d809e7eb1ac,./autogen.sh && ./configure, json-c evhtp,ERR,19032022
5b318b3462934b9f056852ea64ca5e521ec04b4a1db68fd309b587fe8bd095da33ba26f074ccd37450e7c7e468387211f4d234eb0a55db3dae2b9d809e7eb1ac,autoreconf -i && ./configure, json-c evhtp,ERR,19032022
bdf5987866fbafc27f8fc5f2a07c7783d341f533801211e76682a4ae0c3f351221e7b0da6392800ab269c0dc4c3684dfa9f0e7da9c06ea155f9c6cb9ad7ac2c8,cmake ./,,OK,19032022
9c1a5af03d68f0f0532ac8299cd27b95faf81bb1df6242032bed7690c5715d30c4a3bf007015e229e7aa76dda7db4a11b3aeaf88f6920e954a546e0b3236351d,autoreconf -i && ./configure,,OK,19032022
9c1a5af03d68f0f0532ac8299cd27b95faf81bb1df6242032bed7690c5715d30c4a3bf007015e229e7aa76dda7db4a11b3aeaf88f6920e954a546e0b3236351d,cmake ./,,ERR,19032022
510d007c7dde3cb44f486159bef9df9a995660343c99046671146dd2157296898d9c491caec7db7ca920f845e45bdd77dee9fafcd65b89d197124cd0a4f073c2,cmake ./,,ERR,19032022
084624ed1ea4d4be37f10451807164df9d93fb774b43ae4636d75a043e8389f7b6923186e55e42dec7480fad7059c89fa99bd62c673fc1a6a40025b6392a4e83,./autogen.sh && ./configure,,OK,19032022
084624ed1ea4d4be37f10451807164df9d93fb774b43ae4636d75a043e8389f7b6923186e55e42dec7480fad7059c89fa99bd62c673fc1a6a40025b6392a4e83,autoreconf -i && ./configure,,OK,19032022
084624ed1ea4d4be37f10451807164df9d93fb774b43ae4636d75a043e8389f7b6923186e55e42dec7480fad7059c89fa99bd62c673fc1a6a40025b6392a4e83,cmake ./,,ERR,19032022
c4c91abacb50b6bf9c816f9b1ead55bd417ad6f2f58a86e0d888b2716fd327f9377c50e9b5c4692abce501dd6afb58d854e6fdef6400c1c044c726f3c0e26601,cmake ./,,OK,19032022
4b7dac20ef8c6c7b3c02e7137fd5237bf5ded5908163ea1310ffaaf880e30994ea03e56fe5843608cf7b325f96a067d0f9e2764f58584b9512f1a04fa18947df,cmake ./,,OK,19032022
4733cc68555145ecd195c34fec3fb76f63e5dd427bd9eae050e73b025926100bd48b28064183973e3ace575da8bb8292d512b9562f55ada59c0d23e171613178,cmake ./,,OK,19032022
911877de87b724d691f7a92c695a607827246329da217075f59d0645c84c4ff76d86d866014c67d9576d16a5289321bb8c8f4f959ce531a44f24398e5aa5abdf,./configure,,OK,19032022
911877de87b724d691f7a92c695a607827246329da217075f59d0645c84c4ff76d86d866014c67d9576d16a5289321bb8c8f4f959ce531a44f24398e5aa5abdf,autoreconf -i && ./configure,,OK,19032022
45e94a95dd649b8145afefd958148f194c3e1ddf8db91b05115b60065374cf58e0858e7d60c7563125cbb224c92cbc9c033c8d99811fd7ff870aa6ec9c3eaa3d,./configure,,ERR,19032022
45e94a95dd649b8145afefd958148f194c3e1ddf8db91b05115b60065374cf58e0858e7d60c7563125cbb224c92cbc9c033c8d99811fd7ff870aa6ec9c3eaa3d,autoreconf -i && ./configure,,ERR,19032022
ad2c6cb341808c3281682d9fa7fca30c1112fbe1e95f0214451457491521a97912731997c20c841f8d3fb6bb79c888201d812492ebb93e1e8791678bcfd84f6e,SKEEP,NULL,,19032022
144c98370a7026d114986135eea70ad7283ad69e13729cf4c6d28378c34af3deb4caee4d70312b686959f907d9f062410628c925c490c57ca0e69c27668a362e,NULL,NULL,NULL,19032022
99ea52cb73531377b400163c6b296a2e262fada97d806431ddcf74d5b8ecf9482fecef27d9924be9957bef6efe154c976590371f6f385a90a7e1c07146a2b1a0,cmake ./,,ERR,19032022
8ae87252cdc91a19371620135de6569845d9fd4954d225e0f4765ba69f0471030e91d4e1a5b1a26a2b3866fbbe88dceecb2bee143229c653d47fe7ebd6418770,SKEEP,NULL,,19032022
45d537a89bda78b888d46699762d1d67dfe43c10e081257d683e392f02ca9b315bebb65c0d8dce27d42e2bae547b8807fd05ccada136c146e75fd7526c4ce25e,./configure,,OK,19032022
1c82c22bbe557f4232f9be1c0f789133dc1631c21fd9c91302f0245eeaf1ba15121c79f86c9523f83a730a820885fc100a28a4807749af0f2291119e447ed3f8,SKEEP,NULL,,19032022
56235724465b3498494328bd42c6f30a03d7e3f18cc9b430a40e04f988644b2e2d8cf436b3a8944a8bfd9763d1666476c0fb17c86425dd2afd2dcbf2f9057c4b,SKEEP,NULL,,19032022
4ecc89a5a39f73570e07b326b7decbd926b0fad5654d2c285233c2cca45f4a0f51d841be6bcda90acefc8d506e8371bf20508e84a191c8ff90a07df4f9823c30,SKEEP,NULL,,19032022
