HASH,Assembly,C,C++,C#,Python,Java,Ruby,PHP,Go,JavaScript,CodeQl,Other
084624ed1ea4d4be37f10451807164df9d93fb774b43ae4636d75a043e8389f7b6923186e55e42dec7480fad7059c89fa99bd62c673fc1a6a40025b6392a4e83,0,89.59,0,0,2.27,0,0,0,0,0,0,8.15
c4c91abacb50b6bf9c816f9b1ead55bd417ad6f2f58a86e0d888b2716fd327f9377c50e9b5c4692abce501dd6afb58d854e6fdef6400c1c044c726f3c0e26601,0,0.97,90.07,0,6.9,0,0,0,0,0,0,2.06
4b7dac20ef8c6c7b3c02e7137fd5237bf5ded5908163ea1310ffaaf880e30994ea03e56fe5843608cf7b325f96a067d0f9e2764f58584b9512f1a04fa18947df,0,0,87.01,0,0,0,0,0,0,0,0,12.99
4733cc68555145ecd195c34fec3fb76f63e5dd427bd9eae050e73b025926100bd48b28064183973e3ace575da8bb8292d512b9562f55ada59c0d23e171613178,0,2.41,71.99,0,0.5,0,0,0,0,0,0,25.099999999999998
911877de87b724d691f7a92c695a607827246329da217075f59d0645c84c4ff76d86d866014c67d9576d16a5289321bb8c8f4f959ce531a44f24398e5aa5abdf,14.31,46.01,4.26,0.02,0.2,0,0,0.01,0.0,0,0,35.139999999999986
45e94a95dd649b8145afefd958148f194c3e1ddf8db91b05115b60065374cf58e0858e7d60c7563125cbb224c92cbc9c033c8d99811fd7ff870aa6ec9c3eaa3d,0,0,0,0,0,0,0,0,0,0,0,0
ad2c6cb341808c3281682d9fa7fca30c1112fbe1e95f0214451457491521a97912731997c20c841f8d3fb6bb79c888201d812492ebb93e1e8791678bcfd84f6e,0,0,0,0,0,0,0,0,0,0,0,0
144c98370a7026d114986135eea70ad7283ad69e13729cf4c6d28378c34af3deb4caee4d70312b686959f907d9f062410628c925c490c57ca0e69c27668a362e,0,0,0,0,0,0,0,0,0,0,0,0
99ea52cb73531377b400163c6b296a2e262fada97d806431ddcf74d5b8ecf9482fecef27d9924be9957bef6efe154c976590371f6f385a90a7e1c07146a2b1a0,0,0.1,69.23,0,0.03,0,0,0,0,0,0,30.64
8ae87252cdc91a19371620135de6569845d9fd4954d225e0f4765ba69f0471030e91d4e1a5b1a26a2b3866fbbe88dceecb2bee143229c653d47fe7ebd6418770,0,0,0,0,99.92,0,0,0,0,0,0,0.08
45d537a89bda78b888d46699762d1d67dfe43c10e081257d683e392f02ca9b315bebb65c0d8dce27d42e2bae547b8807fd05ccada136c146e75fd7526c4ce25e,0,0,0,0,0,0,0,0,0,99.81,0,0.19
1c82c22bbe557f4232f9be1c0f789133dc1631c21fd9c91302f0245eeaf1ba15121c79f86c9523f83a730a820885fc100a28a4807749af0f2291119e447ed3f8,0,0,0,0,0,0,0,0.03,0,9.06,0,90.91999999999999
56235724465b3498494328bd42c6f30a03d7e3f18cc9b430a40e04f988644b2e2d8cf436b3a8944a8bfd9763d1666476c0fb17c86425dd2afd2dcbf2f9057c4b,0,0,0,0,0.09,0,0,0,0,94.92,0,4.989999999999999
4ecc89a5a39f73570e07b326b7decbd926b0fad5654d2c285233c2cca45f4a0f51d841be6bcda90acefc8d506e8371bf20508e84a191c8ff90a07df4f9823c30,0,0,0,0,0,0,3.57,0,0,62.56,0,33.870000000000005
0c398876b947f82a78cad68456d202a064928c587092c300cfff5b6f83a1ffd5d07bf00a3c5b132708242a3f640d03dfecf48a6d9e34717eb63c5f2f6872b4b2,0,0,0,0,97.13,0,0,0,0,0.89,0,1.98
5423eb310c364acd8de011d47d23f52dd0782e0d7ee61d1e5a25d8be2b41e634c9e56ee8b995626b9ec20fca0daf51dd8983dfa7abce31ea44bdada9c8da2825,0,0,0,0,0,0,0,0.49,0,94.35,0,5.159999999999999
0a575ea5afa85773bdd4418abbccc51e7b0fd2466a0f9d9a9781de778f4307b1482af511d4f859a8e789a9e4ae154ccf917c9e6b345cbfd143f947af26182b52,0,0,0,0,0,0,0,0,0,75.88,0,24.119999999999997
f680b65181fca37f2a8edb04b1d270b3f00521eeb5c07cfe5e45e35038478d269fa33953a7e9b724754dd18de31648cba5a3aad2893015093559e57f7e7f23d1,0,0,0,0,99.99,0,0,0,0,0,0,0.01
ef9ca2a6605166397f1d7548bcd69d6ac57b83e5821ed3483b8083bd85521b84d943222d1ee28fd772ca08bc9d9dc2495df221aa75be143716b7d0ce13964a51,0,0,0,0,0,0,0,0.7,0,93.58,0,5.7299999999999995
5aecba43923c5a97b773c04343896434464cb3ee8937cd1fe4e1d880d98b46db6df97220900fece1aa5a6581d953c939f38d4598c1fa9dbb22e71c86cef3cf7b,0,0,0,0,0,0,0,0,0,91.05,0,8.95
041bd666e8d3ecd84869899a91c323da5745814f4fc2a6e38636a3bc6c19b5ed30f004c2ab15d8ca62b41c7d30438c164db897165d8b6dffc0598d3040159e6f,0,0,0,0,0,0,0,0,0,36.61,0,63.39000000000001
a76b58a784eca8e4640ba5d52ebca5bf8bc1a00a4982e7db7baaa1039c8699808ab751ed475a5bc27a1dc3a23a31677b66d309f618a5245b4f0b3c86d7925897,0,0,0,0,0,88.19,0,0,0,0.24,0,11.570000000000002
c05c36fe9ad4e372fd6f30f509d928fb429af4493415e4be2ea2225c5ba996b31e49df41d44435d8f782b5b1d2db4f1d3663b401863798def9a4d8264b4c7213,0,0,0,0,86.54,0,0,0,0,4.23,0,9.23
b0fb0c6b1e75ed9271a22f325855b2e2bd6b54c055bcf395b7c16e1ebafdc966c060b3641e5cb40629bc71bf1c8f84de80ddf21a9d146855c44d7380567c5ad5,0,0,0,0,0.01,88.45,0,0,0,3.68,0,7.88
3173adaf8f45adccd55bfe8ae1bbd8d4400aba361eb612b47fba665deec73a07cd45c851c629895eae9beef1499788c7d55242b4bedb87950b0c81410e8d19cb,0,0,0,0,0,0,0,61.8,0,19.29,0,18.909999999999997
3c73838ea2d7e2db1023cda703d100618f7330ca28f98f9101da4207feab1d82d067c39da4368d79c9817237068420f9ba1775bb13bc4b40d2a7e046f4e13fd3,0,0,0,0,0,0,0,86.39,0,4.93,0,8.68
8d6ade2ca97a7c1e5e41e923c9a37873ced65ad2c8942df2f34e6a11db55d7592e5fd5f70b21c3a523e0ba9939e6602d45aa803eca45fddbca85bf55b2af8687,0,0,0,0,0,0,0,63.51,0,13.25,0,23.23
e0f72f9fdc6750e56a74fc27585b2cdd3d479c6655df8432cf2247d31ef12e22e7be6fbac0f363686fba5113d9233b61459884c0638bc170c66ad0d0bc946bcd,0,0,0,0,0,0,0,39.97,0,25.73,0,34.31
